id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
589254,Hillcrest San Diego Midcentury Bedroom Bathroom,1117966,John,,Midtown,32.74217,-117.16377,Private room,75,6,193,2021-06-27,2.14,2,142,1,
591575,Luxury Condo with Ocean Views,2919820,Karl,,La Jolla,32.82898,-117.27846,Entire home/apt,310,3,75,2021-10-12,1.10,2,17,4,
597609,Vista Del Mar Two,2919820,Karl,,La Jolla,32.82901,-117.27849,Entire home/apt,365,3,89,2021-12-04,1.35,2,2,24,
599607,Backyard Treehouse Flat,2954330,Kim,,Midtown,32.74259,-117.17566,Entire home/apt,132,1,10,2021-10-18,0.64,1,365,9,
602985,Quaint Historic Beach House,6627782,Sarah,,Ocean Beach,32.74566,-117.24986,Entire home/apt,197,3,199,2021-11-27,1.77,2,174,23,
604169,"BOAT, BED & BREAKFAST - ""SLIPAWAY"" - 45'  Ketch",2990799,Shaun,,Midtown District,32.71937,-117.22115,Entire home/apt,288,2,56,2021-11-15,0.52,7,74,26,
606508,"condos in San Diego, CA",103427,Jacqueline M,,Core,32.71816,-117.15442,Entire home/apt,282,2,1,2015-06-10,0.01,5,365,0,
610920,La Jolla Beach Beauty ~ 3bd/2ba walk to beach/surf,3028993,Kimber,,La Jolla,32.81244,-117.26835,Entire home/apt,673,3,7,2021-08-08,0.07,1,154,2,
611250,Walk to bay downtownn Priv 1/2 bath,2315442,Michael,,Park West,32.72784,-117.16398,Private room,67,1,512,2021-11-29,4.49,10,34,43,
616718,Priv Bath Walk to Bay/downotwn/park,2315442,Michael,,Park West,32.72636,-117.16461,Private room,67,1,673,2021-12-06,5.90,10,27,51,
631271,Downtown San Diego Loft,1121416,Andre,,East Village,32.71553,-117.15377,Entire home/apt,119,30,108,2021-11-21,0.96,1,105,6,
637308,La Jolla Castle in the Sky,3178591,David,,La Jolla,32.83984,-117.26885,Entire home/apt,1409,4,5,2021-10-01,0.04,1,238,3,
651542,Spanish Revival Home with a View,3006274,Kathryn,,Midtown,32.74323,-117.17623,Entire home/apt,179,3,187,2021-11-29,1.79,2,202,21,
655822,Andrade  Spa In Sunny San Diego CA,2356843,Penelope,,Rancho Penasquitos,32.9524,-117.11426,Entire home/apt,250,5,11,2021-01-02,0.18,1,275,1,
657051,"Walkable location, Studio w/BBQ,Jacuzzi,hammock",432635829,Rosemary,,South Park,32.72266,-117.12402,Entire home/apt,90,1,210,2021-11-28,1.88,1,243,35,
